"alpha","method"
0.490306546213105,"SpIR"
0.620451790513471,"SpIR"
0.253272620495409,"SpIR"
0.847353274933994,"SpIR"
0.228227296844125,"SpIR"
0.21826317999512,"SpIR"
0.194477685028687,"SpIR"
0.661613787291571,"SpIR"
0.810532945673913,"SpIR"
0.285140559310094,"SpIR"
0.550590169616044,"SpIR"
0.506681067403406,"SpIR"
0.882132241269573,"SpIR"
0.644221131224185,"SpIR"
0.378791684284806,"SpIR"
0.909816190367565,"SpIR"
0.0596444967668503,"SpIR"
0.372461701510474,"SpIR"
0.268365563126281,"SpIR"
0.43649596022442,"SpIR"
0.832268672063947,"SpIR"
0.00139793590642512,"SpIR"
0.632411623606458,"SpIR"
0.589051995892078,"SpIR"
0.549198594642803,"SpIR"
0.674190358025953,"SpIR"
0.205092934891582,"SpIR"
0.801858671242371,"SpIR"
0.0254187416285276,"SpIR"
0.493123948341235,"SpIR"
0.716666004620492,"SpIR"
0.133029901655391,"SpIR"
0.702050760621205,"SpIR"
0.850518150022254,"SpIR"
0.766491922782734,"SpIR"
0.689496860606596,"SpIR"
0.580347335198894,"SpIR"
0.43649596022442,"SpIR"
0.357083422131836,"SpIR"
0.201116190990433,"SpIR"
0.365526743931696,"SpIR"
0.416331490734592,"SpIR"
0.476128949550912,"SpIR"
0.742840898688883,"SpIR"
0.153535204706714,"SpIR"
0.0167188541963696,"SpIR"
0.415457678958774,"SpIR"
0.365526743931696,"SpIR"
0.228227296844125,"SpIR"
0.692249898100272,"SpIR"
0.261805856134742,"SpIR"
0.656126065412536,"SpIR"
0.0900841187685728,"SpIR"
0.608506506541744,"SpIR"
0.603189903078601,"SpIR"
0.217971050180495,"SpIR"
0.0621695907320827,"SpIR"
0.549198594642803,"SpIR"
0.914085615891963,"SpIR"
0.908754336647689,"SpIR"
0.674228297546506,"SpIR"
0.0638445247896016,"SpIR"
0.0273093830328435,"SpIR"
0.463735051685944,"SpIR"
0.201116190990433,"SpIR"
0.0733829385135323,"SpIR"
0.48294994328171,"SpIR"
0.71809380594641,"SpIR"
0.499917274806648,"SpIR"
0.27803499577567,"SpIR"
0.459617983084172,"SpIR"
0.112499492242932,"SpIR"
0.179830364650115,"SpIR"
0.249851528787985,"SpIR"
0.632275959011167,"SpIR"
0.243237355956808,"SpIR"
0.591562447836623,"SpIR"
0.195796322077513,"SpIR"
0.0596444967668503,"SpIR"
0.312052998226136,"SpIR"
0.444724627071992,"SpIR"
0.204588285181671,"SpIR"
0.557364958105609,"SpIR"
0.438468066044152,"SpIR"
0.0698849956970662,"SpIR"
0.213916030479595,"SpIR"
0.549446134828031,"SpIR"
0.10395390773192,"SpIR"
0.538582595763728,"SpIR"
0.739781729411334,"SpIR"
0.555262538371608,"SpIR"
0.1388794190716,"SpIR"
0.169961201259866,"SpIR"
0.655119528761134,"SpIR"
0.0789805597160012,"SpIR"
0.346744803478941,"SpIR"
0.530333145754412,"SpIR"
0.572983334073797,"SpIR"
0.261805856134742,"SpIR"
0.481425003381446,"SpIR"
0.371836072066799,"SpIR"
0.199830064550042,"SpIR"
0.816898073768243,"SpIR"
0.705263465177268,"SpIR"
0.10395390773192,"SpIR"
0.21826317999512,"SpIR"
0.1388794190716,"SpIR"
0.630636402172968,"SpIR"
0.596639632247388,"SpIR"
0.668691989500076,"SpIR"
0.644440159434453,"SpIR"
0.63591103698127,"SpIR"
0.0500479033216834,"SpIR"
0.0500479033216834,"SpIR"
0.335614116629586,"SpIR"
0.596639632247388,"SpIR"
0.371836072066799,"SpIR"
0.667647802038118,"SpIR"
0.384752254001796,"SpIR"
0.254119713325053,"SpIR"
0.458270993316546,"SpIR"
0.396641469327733,"SpIR"
0.782455492997542,"SpIR"
0.666195326950401,"SpIR"
0.1388794190716,"SpIR"
0.716858825646341,"SpIR"
0.15761358384043,"SpIR"
0.307965509360656,"SpIR"
0.281310547376052,"SpIR"
0.239543354371563,"SpIR"
0.445952117443085,"SpIR"
0.433998146792874,"SpIR"
0.131132688373327,"SpIR"
0.133168827742338,"SpIR"
0.268365563126281,"SpIR"
0.167537608882412,"SpIR"
0.348447298398241,"SpIR"
0.0500479033216834,"SpIR"
0.0208774881903082,"SpIR"
0.725185077171773,"SpIR"
0.605445516994223,"SpIR"
0.953245793702081,"SpIR"
0.150432782480493,"SpIR"
0.144650595728308,"SpIR"
0.646767928497866,"SpIR"
0.572983334073797,"SpIR"
0.424878392368555,"SpIR"
0.363454130711034,"SpIR"
0.216169333085418,"SpIR"
0.593203196302056,"SpIR"
0.119580448837951,"SpIR"
0.459617983084172,"SpIR"
0.180084899766371,"SpIR"
0.216154281049967,"SpIR"
0.580347335198894,"SpIR"
0.725185077171773,"SpIR"
0.178867015289143,"SpIR"
0.113978502340615,"SpIR"
0.606175522087142,"SpIR"
0.156121486099437,"SpIR"
0.202948605408892,"SpIR"
0.253272620495409,"SpIR"
0.539044281002134,"SpIR"
0.818279610713944,"SpIR"
0.644440159434453,"SpIR"
0.188009130069986,"SpIR"
0.0578632312826812,"SpIR"
0.896672352682799,"SpIR"
0.0698849956970662,"SpIR"
0.35534325055778,"SpIR"
