"phi","dens","study","distribution"
0.191191191191191,3.62713919483936e-17,"study_0","Beta"
0.192192192192192,2.13365859809754e-17,"study_0","Beta"
0.193193193193193,1.2524425464757e-17,"study_0","Beta"
0.194194194194194,7.33613324341515e-18,"study_0","Beta"
0.195195195195195,4.28802569754001e-18,"study_0","Beta"
0.196196196196196,2.50110824941336e-18,"study_0","Beta"
0.197197197197197,1.45578293923934e-18,"study_0","Beta"
0.198198198198198,8.45578233618687e-19,"study_0","Beta"
0.199199199199199,4.90126204881367e-19,"study_0","Beta"
0.2002002002002,2.83506392537064e-19,"study_0","Beta"
0.201201201201201,1.63652394343621e-19,"study_0","Beta"
0.202202202202202,9.42736106455818e-20,"study_0","Beta"
0.203203203203203,5.41963210713092e-20,"study_0","Beta"
0.204204204204204,3.10931634370303e-20,"study_0","Beta"
0.205205205205205,1.7802415151637e-20,"study_0","Beta"
0.206206206206206,1.01722085883291e-20,"study_0","Beta"
0.207207207207207,5.80065777539369e-21,"study_0","Beta"
0.208208208208208,3.30117200726318e-21,"study_0","Beta"
0.209209209209209,1.87495646874933e-21,"study_0","Beta"
0.21021021021021,1.06279496124612e-21,"study_0","Beta"
0.211211211211211,6.01237582022451e-22,"study_0","Beta"
0.212212212212212,3.39456475079858e-22,"study_0","Beta"
0.213213213213213,1.91278592474842e-22,"study_0","Beta"
0.214214214214214,1.07571151310378e-22,"study_0","Beta"
0.215215215215215,6.03775202690738e-23,"study_0","Beta"
0.216216216216216,3.3822639919982e-23,"study_0","Beta"
0.217217217217217,1.89101605437814e-23,"study_0","Beta"
0.218218218218218,1.0552152696914e-23,"study_0","Beta"
0.219219219219219,5.87689122931389e-24,"study_0","Beta"
0.22022022022022,3.26676214964497e-24,"study_0","Beta"
0.221221221221221,1.81239619473205e-24,"study_0","Beta"
0.222222222222222,1.00359148401518e-24,"study_0","Beta"
0.223223223223223,5.54665781936154e-25,"study_0","Beta"
0.224224224224224,3.05969892160729e-25,"study_0","Beta"
0.225225225225225,1.6846170972655e-25,"study_0","Beta"
0.226226226226226,9.25765807095124e-26,"study_0","Beta"
0.227227227227227,5.07785938715527e-26,"study_0","Beta"
0.228228228228228,2.7799817134601e-26,"study_0","Beta"
0.229229229229229,1.5191023190145e-26,"study_0","Beta"
0.23023023023023,8.28548567356653e-27,"study_0","Beta"
0.231231231231231,4.51062541357208e-27,"study_0","Beta"
0.232232232232232,2.45101149318303e-27,"study_0","Beta"
0.233233233233233,1.32936924587221e-27,"study_0","Beta"
0.234234234234234,7.19680040551274e-28,"study_0","Beta"
