"P0","MSYR","ROI","P1993","alpha","alpha_status","method"
16623.8231662223,0.0141261328147634,0.0133304516546886,8293.07387312028,0.5,"fixed","MCMC"
15548.3516892216,0.0171027745462829,0.0158024231039604,8745.76740348164,0.5,"fixed","MCMC"
16173.0156793903,0.0151177037669077,0.0146275007936385,7822.04830072491,0.5,"fixed","MCMC"
14145.8891467317,0.0219695633817822,0.0204827417628919,8481.61473682058,0.5,"fixed","MCMC"
13996.3759531899,0.0224288148929258,0.0229014376849743,7192.35271128029,0.5,"fixed","MCMC"
17123.966023151,0.0128361080564789,0.0122050004504359,7789.49821450453,0.5,"fixed","MCMC"
14008.0429805027,0.0225055083283445,0.021496320060354,8181.97825855171,0.5,"fixed","MCMC"
14368.0743751642,0.0210006134989938,0.0203377784634942,8024.46217049751,0.5,"fixed","MCMC"
12425.0588719435,0.0307853699826955,0.0264138074754519,8777.29299331072,0.5,"fixed","MCMC"
14718.7281650124,0.0196262415084357,0.0193125882310599,7769.46416031537,0.5,"fixed","MCMC"
16693.3656262263,0.0139678964933191,0.0131603704027943,8310.85546908168,0.5,"fixed","MCMC"
15784.8121058038,0.0162970740394565,0.0155046045085059,8272.94168662439,0.5,"fixed","MCMC"
14891.3638804591,0.0191185915143613,0.0181331268368241,8338.33706608101,0.5,"fixed","MCMC"
13207.1755927303,0.0262730395872698,0.0252685395993573,8009.47815503943,0.5,"fixed","MCMC"
15350.8235779312,0.017733175363331,0.0162060238046178,8877.11550770486,0.5,"fixed","MCMC"
12387.2856173914,0.0310020017284055,0.0278674132625041,8446.28258857961,0.5,"fixed","MCMC"
14647.2891132832,0.0199914445547621,0.0189359753933389,8342.47194350683,0.5,"fixed","MCMC"
16201.7800397219,0.0152936079708666,0.014166958631086,8720.8594679237,0.5,"fixed","MCMC"
15725.1295287662,0.0164569909999505,0.0156974899365299,8231.00022591801,0.5,"fixed","MCMC"
12603.2273523933,0.0296263304357206,0.0293694151753039,7600.72957958295,0.5,"fixed","MCMC"
14776.0003893511,0.0194522501682742,0.0189244472563486,7955.08219138931,0.5,"fixed","MCMC"
12245.3209733775,0.0318718034011948,0.0316648735340086,7533.30306257041,0.5,"fixed","MCMC"
11459.7099556334,0.0375688824835714,0.0308582306721201,8687.66617433292,0.5,"fixed","MCMC"
12219.4543055221,0.0320569401941268,0.0306313828081961,7910.67633758751,0.5,"fixed","MCMC"
13771.6977511307,0.0235848797111957,0.0218901963542975,8471.58770575598,0.5,"fixed","MCMC"
12501.4702032477,0.0303431177573241,0.0244387873024203,9175.82856537728,0.5,"fixed","MCMC"
13925.8024190741,0.0228962349973316,0.0213749643613623,8434.74841710143,0.5,"fixed","MCMC"
13474.7444585221,0.025009469754111,0.0223560104930871,8763.89860866668,0.5,"fixed","MCMC"
