"phi","dens","method","distribution"
0.0590590590590591,9.15912833458584e-16,"equal_weights","Beta"
0.0600600600600601,2.93684210994654e-15,"equal_weights","Beta"
0.0610610610610611,9.12995406276913e-15,"equal_weights","Beta"
0.0620620620620621,2.75451111472586e-14,"equal_weights","Beta"
0.0630630630630631,8.07261628892041e-14,"equal_weights","Beta"
0.0640640640640641,2.30019483788464e-13,"equal_weights","Beta"
0.0650650650650651,6.37770082384573e-13,"equal_weights","Beta"
0.0660660660660661,1.72212477727428e-12,"equal_weights","Beta"
0.0670670670670671,4.53212511583119e-12,"equal_weights","Beta"
0.0680680680680681,1.16331374185175e-11,"equal_weights","Beta"
0.0690690690690691,2.91444806981224e-11,"equal_weights","Beta"
0.0700700700700701,7.13138376227227e-11,"equal_weights","Beta"
0.0710710710710711,1.7054159615627e-10,"equal_weights","Beta"
0.0720720720720721,3.98836642855343e-10,"equal_weights","Beta"
0.0730730730730731,9.12695707711672e-10,"equal_weights","Beta"
0.0740740740740741,2.04489326397975e-09,"equal_weights","Beta"
0.0750750750750751,4.48814023742546e-09,"equal_weights","Beta"
0.0760760760760761,9.65475645797334e-09,"equal_weights","Beta"
0.0770770770770771,2.03664052054144e-08,"equal_weights","Beta"
0.0780780780780781,4.21498568362053e-08,"equal_weights","Beta"
0.0790790790790791,8.56227031157701e-08,"equal_weights","Beta"
0.0800800800800801,1.70799912516329e-07,"equal_weights","Beta"
0.0810810810810811,3.34718500487162e-07,"equal_weights","Beta"
0.0820820820820821,6.44682245330429e-07,"equal_weights","Beta"
0.0830830830830831,1.22084234190644e-06,"equal_weights","Beta"
0.0840840840840841,2.27399246573692e-06,"equal_weights","Beta"
0.0850850850850851,4.16769306311619e-06,"equal_weights","Beta"
0.0860860860860861,7.51857786986004e-06,"equal_weights","Beta"
0.0870870870870871,1.33554802810323e-05,"equal_weights","Beta"
0.0880880880880881,2.33675148442096e-05,"equal_weights","Beta"
0.0890890890890891,4.0284239820159e-05,"equal_weights","Beta"
0.0900900900900901,6.84483736839937e-05,"equal_weights","Beta"
0.0910910910910911,0.000114664128157605,"equal_weights","Beta"
0.0920920920920921,0.000189432864733463,"equal_weights","Beta"
0.0930930930930931,0.000308723075186893,"equal_weights","Beta"
0.0940940940940941,0.000496463815726633,"equal_weights","Beta"
0.0950950950950951,0.000787999231119544,"equal_weights","Beta"
0.0960960960960961,0.00123479531479911,"equal_weights","Beta"
0.0970970970970971,0.00191074598552685,"equal_weights","Beta"
0.0980980980980981,0.0029204798684131,"equal_weights","Beta"
0.0990990990990991,0.00441011611079558,"equal_weights","Beta"
0.1001001001001,0.00658094962090111,"equal_weights","Beta"
0.101101101101101,0.00970655405748972,"equal_weights","Beta"
0.102102102102102,0.0141537640796583,"equal_weights","Beta"
0.103103103103103,0.020407925313122,"equal_weights","Beta"
0.104104104104104,0.0291026697797294,"equal_weights","Beta"
0.105105105105105,0.0410542759886215,"equal_weights","Beta"
0.106106106106106,0.0573003990133182,"equal_weights","Beta"
0.107107107107107,0.0791426035195591,"equal_weights","Beta"
0.108108108108108,0.108191704707723,"equal_weights","Beta"
0.109109109109109,0.146414428878541,"equal_weights","Beta"
0.11011011011011,0.196179365945231,"equal_weights","Beta"
0.111111111111111,0.260299629177136,"equal_weights","Beta"
0.112112112112112,0.342069100432705,"equal_weights","Beta"
0.113113113113113,0.445288667836047,"equal_weights","Beta"
0.114114114114114,0.574278508835197,"equal_weights","Beta"
0.115115115115115,0.733872288992193,"equal_weights","Beta"
0.116116116116116,0.929389188187776,"equal_weights","Beta"
0.117117117117117,1.16657997707709,"equal_weights","Beta"
0.118118118118118,1.45154398164202,"equal_weights","Beta"
0.119119119119119,1.79061470955003,"equal_weights","Beta"
0.12012012012012,2.19021316423878,"equal_weights","Beta"
0.121121121121121,2.65666941188094,"equal_weights","Beta"
0.122122122122122,3.19601473697259,"equal_weights","Beta"
0.123123123123123,3.81374864273664,"equal_weights","Beta"
0.124124124124124,4.51458691844267,"equal_weights","Beta"
0.125125125125125,5.30219888505523,"equal_weights","Beta"
0.126126126126126,6.17894361105601,"equal_weights","Beta"
0.127127127127127,7.14561622845966,"equal_weights","Beta"
0.128128128128128,8.20121635066234,"equal_weights","Beta"
0.129129129129129,9.34275089402034,"equal_weights","Beta"
0.13013013013013,10.5650832583722,"equal_weights","Beta"
0.131131131131131,11.8608397898683,"equal_weights","Beta"
0.132132132132132,13.2203827373118,"equal_weights","Beta"
0.133133133133133,14.6318565713472,"equal_weights","Beta"
0.134134134134134,16.0813116597885,"equal_weights","Beta"
0.135135135135135,17.5529060182678,"equal_weights","Beta"
0.136136136136136,19.0291823521744,"equal_weights","Beta"
0.137137137137137,20.4914140648302,"equal_weights","Beta"
0.138138138138138,21.9200105290609,"equal_weights","Beta"
0.139139139139139,23.2949689019372,"equal_weights","Beta"
0.14014014014014,24.5963572851797,"equal_weights","Beta"
0.141141141141141,25.8048122463069,"equal_weights","Beta"
0.142142142142142,26.9020327274868,"equal_weights","Beta"
0.143143143143143,27.8712522419395,"equal_weights","Beta"
0.144144144144144,28.6976720015941,"equal_weights","Beta"
0.145145145145145,29.3688391925765,"equal_weights","Beta"
0.146146146146146,29.8749569265446,"equal_weights","Beta"
0.147147147147147,30.2091153137157,"equal_weights","Beta"
0.148148148148148,30.3674364632707,"equal_weights","Beta"
0.149149149149149,30.3491298334037,"equal_weights","Beta"
0.15015015015015,30.1564580329137,"equal_weights","Beta"
0.151151151151151,29.7946167290923,"equal_weights","Beta"
0.152152152152152,29.271535568405,"equal_weights","Beta"
0.153153153153153,28.5976098180298,"equal_weights","Beta"
0.154154154154154,27.7853746715797,"equal_weights","Beta"
0.155155155155155,26.8491357530231,"equal_weights","Beta"
0.156156156156156,25.8045702606899,"equal_weights","Beta"
0.157157157157157,24.668313419489,"equal_weights","Beta"
0.158158158158158,23.4575444916122,"equal_weights","Beta"
0.159159159159159,22.1895856028436,"equal_weights","Beta"
0.16016016016016,20.8815251664809,"equal_weights","Beta"
0.161161161161161,19.549875840209,"equal_weights","Beta"
0.162162162162162,18.2102748525398,"equal_weights","Beta"
0.163163163163163,16.8772323056203,"equal_weights","Beta"
0.164164164164164,15.5639308158111,"equal_weights","Beta"
0.165165165165165,14.2820776966149,"equal_weights","Beta"
0.166166166166166,13.041808908621,"equal_weights","Beta"
0.167167167167167,11.8516422676459,"equal_weights","Beta"
0.168168168168168,10.7184759642654,"equal_weights","Beta"
0.169169169169169,9.64762733407267,"equal_weights","Beta"
0.17017017017017,8.64290603738204,"equal_weights","Beta"
0.171171171171171,7.70671535152525,"equal_weights","Beta"
0.172172172172172,6.84017512553529,"equal_weights","Beta"
0.173173173173173,6.04326006173307,"equal_weights","Beta"
0.174174174174174,5.31494732941206,"equal_weights","Beta"
0.175175175175175,4.65336803575808,"equal_weights","Beta"
0.176176176176176,4.05595773015763,"equal_weights","Beta"
0.177177177177177,3.51960185314358,"equal_weights","Beta"
0.178178178178178,3.04077281683032,"equal_weights","Beta"
0.179179179179179,2.61565618127844,"equal_weights","Beta"
0.18018018018018,2.24026413845745,"equal_weights","Beta"
0.181181181181181,1.91053520673403,"equal_weights","Beta"
0.182182182182182,1.62241965536506,"equal_weights","Beta"
0.183183183183183,1.37195070816057,"equal_weights","Beta"
0.184184184184184,1.15530201215795,"equal_weights","Beta"
0.185185185185185,0.968832199892149,"equal_weights","Beta"
0.186186186186186,0.80911762603834,"equal_weights","Beta"
0.187187187187187,0.672974527555398,"equal_weights","Beta"
0.188188188188188,0.557471950065666,"equal_weights","Beta"
0.189189189189189,0.459936812642248,"equal_weights","Beta"
0.19019019019019,0.377952459710703,"equal_weights","Beta"
0.191191191191191,0.309351983703411,"equal_weights","Beta"
