"phi","dens","study","distribution"
0.141141141141141,9.5677683966748e-12,"study_0","Gaussian"
0.142142142142142,4.34540137745356e-12,"study_0","Gaussian"
0.143143143143143,1.95281106356504e-12,"study_0","Gaussian"
0.144144144144144,8.68363662245782e-13,"study_0","Gaussian"
0.145145145145145,3.82079856259574e-13,"study_0","Gaussian"
0.146146146146146,1.66348055021294e-13,"study_0","Gaussian"
0.147147147147147,7.16625732143744e-14,"study_0","Gaussian"
0.148148148148148,3.05476745517111e-14,"study_0","Gaussian"
0.149149149149149,1.28847203526264e-14,"study_0","Gaussian"
0.15015015015015,5.37753102532533e-15,"study_0","Gaussian"
0.151151151151151,2.22076159200713e-15,"study_0","Gaussian"
0.152152152152152,9.07469497705438e-16,"study_0","Gaussian"
0.153153153153153,3.66921550662976e-16,"study_0","Gaussian"
0.154154154154154,1.46799808720711e-16,"study_0","Gaussian"
0.155155155155155,5.81150806239015e-17,"study_0","Gaussian"
0.156156156156156,2.27647709551824e-17,"study_0","Gaussian"
0.157157157157157,8.82366093019416e-18,"study_0","Gaussian"
0.158158158158158,3.3841174110083e-18,"study_0","Gaussian"
0.159159159159159,1.28426048240891e-18,"study_0","Gaussian"
0.16016016016016,4.82249628274786e-19,"study_0","Gaussian"
0.161161161161161,1.79185048827557e-19,"study_0","Gaussian"
0.162162162162162,6.58783514333262e-20,"study_0","Gaussian"
0.163163163163163,2.3965956209922e-20,"study_0","Gaussian"
0.164164164164164,8.6269620127069e-21,"study_0","Gaussian"
0.165165165165165,3.07278444325588e-21,"study_0","Gaussian"
0.166166166166166,1.08297240513396e-21,"study_0","Gaussian"
0.167167167167167,3.77671115788333e-22,"study_0","Gaussian"
0.168168168168168,1.30323050640375e-22,"study_0","Gaussian"
0.169169169169169,4.44979280188144e-23,"study_0","Gaussian"
0.17017017017017,1.5033822774828e-23,"study_0","Gaussian"
0.171171171171171,5.02585724746754e-24,"study_0","Gaussian"
0.172172172172172,1.66250115992747e-24,"study_0","Gaussian"
0.173173173173173,5.44157789705075e-25,"study_0","Gaussian"
0.174174174174174,1.7623770535467e-25,"study_0","Gaussian"
0.175175175175175,5.64785962666271e-26,"study_0","Gaussian"
0.176176176176176,1.79093590811881e-26,"study_0","Gaussian"
0.177177177177177,5.61936548439246e-27,"study_0","Gaussian"
0.178178178178178,1.74463909641218e-27,"study_0","Gaussian"
0.179179179179179,5.35963243876007e-28,"study_0","Gaussian"
0.18018018018018,1.62920411710276e-28,"study_0","Gaussian"
0.181181181181181,4.90034973309029e-29,"study_0","Gaussian"
0.182182182182182,1.45844393632429e-29,"study_0","Gaussian"
0.183183183183183,4.29500315833699e-30,"study_0","Gaussian"
0.184184184184184,1.25155033660027e-30,"study_0","Gaussian"
0.185185185185185,3.60864566617004e-31,"study_0","Gaussian"
0.186186186186186,1.02955901439325e-31,"study_0","Gaussian"
0.187187187187187,2.9064933639773e-32,"study_0","Gaussian"
