"phi","dens","method","distribution"
0.037037037037037,2.38789461834889e-10,"equal_weights","Gaussian"
0.038038038038038,4.35515350737848e-10,"equal_weights","Gaussian"
0.039039039039039,7.88679646983361e-10,"equal_weights","Gaussian"
0.04004004004004,1.41809934010651e-09,"equal_weights","Gaussian"
0.041041041041041,2.53175415842234e-09,"equal_weights","Gaussian"
0.042042042042042,4.48792163059485e-09,"equal_weights","Gaussian"
0.043043043043043,7.89910437799888e-09,"equal_weights","Gaussian"
0.044044044044044,1.38044559782511e-08,"equal_weights","Gaussian"
0.045045045045045,2.39535339337091e-08,"equal_weights","Gaussian"
0.046046046046046,4.1269456527204e-08,"equal_weights","Gaussian"
0.047047047047047,7.05987090602095e-08,"equal_weights","Gaussian"
0.048048048048048,1.1991503135263e-07,"equal_weights","Gaussian"
0.049049049049049,2.02236409577394e-07,"equal_weights","Gaussian"
0.05005005005005,3.38652216885007e-07,"equal_weights","Gaussian"
0.0510510510510511,5.63063473299226e-07,"equal_weights","Gaussian"
0.0520520520520521,9.29543337731258e-07,"equal_weights","Gaussian"
0.0530530530530531,1.52366954000375e-06,"equal_weights","Gaussian"
0.0540540540540541,2.47982357330356e-06,"equal_weights","Gaussian"
0.0550550550550551,4.00737180398989e-06,"equal_weights","Gaussian"
0.0560560560560561,6.42994632635652e-06,"equal_weights","Gaussian"
0.0570570570570571,1.02438665637584e-05,"equal_weights","Gaussian"
0.0580580580580581,1.62042648644956e-05,"equal_weights","Gaussian"
0.0590590590590591,2.54509272357242e-05,"equal_weights","Gaussian"
0.0600600600600601,3.96905156176902e-05,"equal_weights","Gaussian"
0.0610610610610611,6.14580431300767e-05,"equal_weights","Gaussian"
0.0620620620620621,9.44886339727153e-05,"equal_weights","Gaussian"
0.0630630630630631,0.00014424118062127,"equal_weights","Gaussian"
0.0640640640640641,0.0002186290270058,"equal_weights","Gaussian"
0.0650650650650651,0.000329029798134559,"equal_weights","Gaussian"
0.0660660660660661,0.000491667493053454,"equal_weights","Gaussian"
0.0670670670670671,0.00072948541895063,"equal_weights","Gaussian"
0.0680680680680681,0.0010746587796823,"equal_weights","Gaussian"
0.0690690690690691,0.00157193079513918,"equal_weights","Gaussian"
0.0700700700700701,0.00228299577974031,"equal_weights","Gaussian"
0.0710710710710711,0.00329219575578376,"equal_weights","Gaussian"
0.0720720720720721,0.00471384228881228,"equal_weights","Gaussian"
0.0730730730730731,0.00670151974100977,"equal_weights","Gaussian"
0.0740740740740741,0.00945976635066487,"equal_weights","Gaussian"
0.0750750750750751,0.0132585604730607,"equal_weights","Gaussian"
0.0760760760760761,0.0184510545708517,"equal_weights","Gaussian"
0.0770770770770771,0.0254949913143477,"equal_weights","Gaussian"
0.0780780780780781,0.0349781953461381,"equal_weights","Gaussian"
0.0790790790790791,0.0476484507952939,"equal_weights","Gaussian"
0.0800800800800801,0.0644479379512571,"equal_weights","Gaussian"
0.0810810810810811,0.0865522024114225,"equal_weights","Gaussian"
0.0820820820820821,0.115413357669951,"equal_weights","Gaussian"
0.0830830830830831,0.152806871395708,"equal_weights","Gaussian"
0.0840840840840841,0.2008808546789,"equal_weights","Gaussian"
0.0850850850850851,0.262206266356584,"equal_weights","Gaussian"
0.0860860860860861,0.339825872807773,"equal_weights","Gaussian"
0.0870870870870871,0.437299188102811,"equal_weights","Gaussian"
0.0880880880880881,0.55873999109439,"equal_weights","Gaussian"
0.0890890890890891,0.708842416663518,"equal_weights","Gaussian"
0.0900900900900901,0.892891099918533,"equal_weights","Gaussian"
0.0910910910910911,1.11675047553263,"equal_weights","Gaussian"
0.0920920920920921,1.3868281664456,"equal_weights","Gaussian"
0.0930930930930931,1.71000750553029,"equal_weights","Gaussian"
0.0940940940940941,2.09354468554917,"equal_weights","Gaussian"
0.0950950950950951,2.54492688153361,"equal_weights","Gaussian"
0.0960960960960961,3.07168897271097,"equal_weights","Gaussian"
0.0970970970970971,3.68118822024025,"equal_weights","Gaussian"
0.0980980980980981,4.38033841215627,"equal_weights","Gaussian"
0.0990990990990991,5.17530751026257,"equal_weights","Gaussian"
0.1001001001001,6.07118562650726,"equal_weights","Gaussian"
0.101101101101101,7.07163307873792,"equal_weights","Gaussian"
0.102102102102102,8.17852115021855,"equal_weights","Gaussian"
0.103103103103103,9.39158079665395,"equal_weights","Gaussian"
0.104104104104104,10.7080766835855,"equal_weights","Gaussian"
0.105105105105105,12.1225253686487,"equal_weights","Gaussian"
0.106106106106106,13.6264769565656,"equal_weights","Gaussian"
0.107107107107107,15.2083789757952,"equal_weights","Gaussian"
0.108108108108108,16.8535394370689,"equal_weights","Gaussian"
0.109109109109109,18.5442029926499,"equal_weights","Gaussian"
0.11011011011011,20.2597498662268,"equal_weights","Gaussian"
0.111111111111111,21.977021907608,"equal_weights","Gaussian"
0.112112112112112,23.6707739800466,"equal_weights","Gaussian"
0.113113113113113,25.3142422341622,"equal_weights","Gaussian"
0.114114114114114,26.8798140537583,"equal_weights","Gaussian"
0.115115115115115,28.3397780126176,"equal_weights","Gaussian"
0.116116116116116,29.667126508077,"equal_weights","Gaussian"
0.117117117117117,30.8363792654339,"equal_weights","Gaussian"
0.118118118118118,31.8243930078432,"equal_weights","Gaussian"
0.119119119119119,32.61112153905,"equal_weights","Gaussian"
0.12012012012012,33.1802914522134,"equal_weights","Gaussian"
0.121121121121121,33.5199616810505,"equal_weights","Gaussian"
0.122122122122122,33.6229400283711,"equal_weights","Gaussian"
